Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Fuel Type Factor,Aerodynamic Proxy,City_Hwy_Diff,VEEI
BMW,X4 xDRIVE35i,SUV - SMALL,3.0,6,AS8,Petrol,12.7,8.8,10.9,26,251,1.0,8.8,3.899999999999999,94.88844762308744
BMW,X5 M,SUV - STANDARD,4.4,8,AS8,Petrol,16.6,12.1,14.6,19,336,1.0,12.1,4.500000000000002,80.93639430754698
BMW,X5 xDRIVE35d,SUV - STANDARD,3.0,6,AS8,Diesel,9.9,7.2,8.7,32,235,0.9,7.2,2.7,96.3969927873023
BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,AS8,Petrol,13.0,8.9,11.1,25,255,1.0,8.9,4.1,94.5694862816633
BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Petrol,16.1,10.9,13.8,20,317,1.0,10.9,5.200000000000001,82.91121812120406
BMW,X6 M,SUV - STANDARD,4.4,8,AS8,Petrol,16.6,12.1,14.6,19,336,1.0,12.1,4.500000000000002,80.93639430754698
BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,AS8,Petrol,13.0,8.9,11.1,25,255,1.0,8.9,4.1,94.5694862816633
BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Petrol,16.1,10.9,13.8,20,317,1.0,10.9,5.200000000000001,82.91121812120406
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,AS8,Petrol,10.7,7.1,9.1,31,209,1.0,7.1,3.6,98.60696496475327
BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,Petrol,14.2,9.9,12.3,23,283,1.0,9.9,4.299999999999999,92.02313597780683
BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,Petrol,14.6,10.2,12.6,22,290,1.0,10.2,4.4,91.43678522422032
BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,Petrol,9.5,7.2,8.5,33,196,1.0,7.2,2.3,99.25509689279862
BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,Petrol,10.2,8.0,9.2,31,212,1.0,8.0,2.1999999999999997,99.09805707216648
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,Petrol,13.7,8.6,11.4,25,262,1.0,8.6,5.1,93.24054672994085
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,Electric,18.7,12.4,15.8,18,253,0.8,12.4,6.299999999999999,83.33187728163301
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,Petrol,13.9,9.1,11.7,24,269,1.0,9.1,4.800000000000001,92.75378398715878
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,Electric,18.6,12.6,15.9,18,254,0.8,12.6,6.000000000000002,83.2245662713195
BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,Petrol,9.6,6.5,8.2,34,189,1.0,6.5,3.1,98.63063990491605
BUICK,REGAL,MID-SIZE,2.0,4,AS6,Petrol,11.4,7.9,9.8,29,225,1.0,7.9,3.5,98.35295180574644
BUICK,REGAL AWD,MID-SIZE,2.0,4,AS6,Petrol,12.4,8.7,10.7,26,246,1.0,8.7,3.700000000000001,97.93167781300377
BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,Petrol,9.6,6.5,8.2,34,189,1.0,6.5,3.1,98.63063990491605
BUICK,VERANO,COMPACT,2.0,4,AS6,Petrol,11.4,7.9,9.8,29,225,1.0,7.9,3.5,98.35295180574644
BUICK,VERANO,COMPACT,2.4,4,AS6,Petrol,11.1,7.4,9.4,30,216,1.0,7.4,3.6999999999999993,98.13507345101337
CADILLAC,ATS,COMPACT,2.0,4,AS6,Petrol,11.1,7.9,9.7,29,223,1.0,7.9,3.1999999999999997,98.37268716396503
CADILLAC,ATS,COMPACT,2.5,4,AS6,Petrol,11.1,7.2,9.3,30,214,1.0,7.2,3.9,98.06925603135443
CADILLAC,ATS,COMPACT,3.6,6,AS6,Petrol,12.8,8.4,10.8,26,248,1.0,8.4,4.4,93.86816755579903
CADILLAC,ATS AWD,COMPACT,2.0,4,AS6,Petrol,11.5,8.5,10.2,28,235,1.0,8.5,3.0,98.20211728221877
CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,Petrol,12.8,8.9,11.0,26,253,1.0,8.9,3.9,93.74929997514407
CADILLAC,CTS,MID-SIZE,2.0,4,AS6,Petrol,11.5,7.9,9.9,29,228,1.0,7.9,3.6,98.33321644752787
CADILLAC,CTS,MID-SIZE,3.6,6,AS8,Petrol,12.8,8.2,10.7,26,246,1.0,8.2,4.600000000000001,93.92760134612652
CADILLAC,CTS AWD,MID-SIZE,2.0,4,AS6,Petrol,12.3,8.5,10.6,27,244,1.0,8.5,3.8000000000000007,98.04010983102236
CADILLAC,CTS AWD,MID-SIZE,3.6,6,AS6,Petrol,12.8,8.9,11.0,26,253,1.0,8.9,3.9,93.74929997514407
CADILLAC,CTS Vsport,MID-SIZE,3.6,6,AS8,Petrol,15.1,9.9,12.7,22,292,1.0,9.9,5.199999999999999,91.36654529019692
CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8,A6,Petrol,16.2,11.4,14.0,20,322,1.0,11.4,4.799999999999999,75.44809505726748
CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8,A8,Petrol,15.9,11.1,13.8,20,317,1.0,11.1,4.800000000000001,75.80293679803746
CADILLAC,ESCALADE ESV 4WD,SUV - STANDARD,6.2,8,A6,Petrol,16.8,11.7,14.5,19,334,1.0,11.7,5.100000000000001,73.20698932608859
CADILLAC,ESCALADE ESV 4WD,SUV - STANDARD,6.2,8,A8,Petrol,16.4,11.7,14.3,20,329,1.0,11.7,4.699999999999999,74.91583244611249
CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,Petrol,14.2,9.8,12.3,23,283,1.0,9.8,4.399999999999999,92.02313597780683
CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,Petrol,14.8,10.4,12.8,22,294,1.0,10.4,4.4,91.29630535617355
CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,Petrol,13.6,8.6,11.3,25,260,1.0,8.6,5.0,93.30235787188143
CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,Petrol,13.7,8.9,11.6,24,267,1.0,8.9,4.799999999999999,92.81817059334689
CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Petrol,14.8,9.9,12.6,22,290,1.0,9.9,4.9,91.43678522422032
CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,Petrol,13.3,8.8,11.3,25,260,1.0,8.8,4.5,93.30235787188143
CHEVROLET,CAMARO,COMPACT,6.2,8,AS6,Petrol,15.3,9.8,12.8,22,294,1.0,9.8,5.5,79.64167926636738
CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,Petrol,12.6,7.9,10.5,27,242,1.0,7.9,4.699999999999999,94.27760033361056
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Petrol,19.9,13.0,16.8,17,386,1.0,13.0,6.899999999999999,65.22030370566185
CHEVROLET,CITY EXPRESS,SPECIAL PURPOSE VEHICLE,2.0,4,AV,Petrol,9.7,9.0,9.4,30,216,1.0,9.0,0.6999999999999993,98.49373069437229
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,A6,Petrol,11.9,8.8,10.5,27,242,1.0,8.8,3.1,97.50487960674265
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,3.6,6,A6,Petrol,13.0,9.2,11.3,25,260,1.0,9.2,3.8000000000000007,93.30235787188143
CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.5,4,A6,Petrol,12.7,9.5,11.3,25,260,1.0,9.5,3.1999999999999997,97.05337846705324
CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,3.6,6,A6,Petrol,13.5,9.8,11.8,24,271,1.0,9.8,3.6999999999999993,92.68939738097069
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS8,Petrol,14.6,8.1,11.7,24,269,1.0,8.1,6.5,82.9884820486298
CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8,AS8,Petrol,17.7,10.2,14.3,20,329,1.0,10.2,7.5,74.91583244611249
CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,Petrol,9.1,6.3,7.8,36,179,1.0,6.3,2.8,99.41899007218652
CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,Petrol,10.5,6.8,8.8,32,202,1.0,6.8,3.7,98.8705115750286
CHEVROLET,CRUZE DIESEL,MID-SIZE,2.0,4,AS6,Diesel,8.7,5.1,7.1,40,192,0.9,5.1,3.6,99.15826406194333
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,Petrol,9.0,6.1,7.7,37,177,1.0,6.1,2.9000000000000004,99.45327803464104
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,Petrol,10.5,7.3,9.1,31,209,1.0,7.3,3.2,98.27095457547055
CHEVROLET,EQUINOX FFV,SUV - SMALL,2.4,4,A6,Petrol,10.5,7.3,9.1,31,209,1.0,7.3,3.2,98.27095457547055
CHEVROLET,EQUINOX FFV,SUV - SMALL,2.4,4,A6,Electric,15.6,10.8,13.4,21,214,0.8,10.8,4.799999999999999,94.80904533706793
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,Petrol,14.2,9.5,12.1,23,278,1.0,9.5,4.699999999999999,92.15750802550374
CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,Petrol,11.5,8.2,10.0,28,230,1.0,8.2,3.3000000000000007,97.83419381828675
CHEVROLET,EQUINOX AWD FFV,SUV - SMALL,2.4,4,A6,Petrol,11.5,8.2,10.0,28,230,1.0,8.2,3.3000000000000007,97.83419381828675
CHEVROLET,EQUINOX AWD FFV,SUV - SMALL,2.4,4,A6,Electric,16.3,11.6,14.2,20,227,0.8,11.6,4.700000000000001,94.19175152535976
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,Petrol,14.8,9.9,12.6,22,290,1.0,9.9,4.9,91.43678522422032
CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,Petrol,10.6,7.5,9.2,31,212,1.0,7.5,3.1,98.16387434152333
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,Petrol,12.5,8.2,10.6,27,244,1.0,8.2,4.300000000000001,94.22036779477669
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,Electric,17.0,11.5,14.5,19,232,0.8,11.5,5.5,85.54587286283797
CHEVROLET,MALIBU,MID-SIZE,2.0,4,AS6,Petrol,11.4,7.9,9.8,29,225,1.0,7.9,3.5,98.35295180574644
CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS6,Petrol,9.3,6.4,8.0,35,184,1.0,6.4,2.9000000000000004,98.65180151591345
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,Petrol,13.4,9.9,11.9,24,274,1.0,9.9,3.5,91.13517624826342
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,Electric,19.3,14.3,17.1,17,274,0.8,14.3,5.0,77.07943282777848
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,Petrol,14.6,10.3,12.7,22,292,1.0,10.3,4.299999999999999,82.7764615070407
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,Electric,19.9,13.8,17.2,16,275,0.8,13.8,6.099999999999998,59.526718160420394
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A8,Petrol,16.1,11.4,14.0,20,322,1.0,11.4,4.700000000000001,75.44809505726748
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,Petrol,14.1,10.6,12.5,23,288,1.0,10.6,3.5,90.25577029490441
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,Electric,20.3,15.2,18.0,16,288,0.8,15.2,5.100000000000001,74.33116629158775
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,Petrol,14.9,10.7,13.0,22,299,1.0,10.7,4.200000000000001,82.36282634001408
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,Electric,20.2,14.3,17.5,16,280,0.8,14.3,5.899999999999999,58.81578271709342
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A8,Petrol,16.3,11.6,14.2,20,327,1.0,11.6,4.700000000000001,75.0932533164975
CHEVROLET,SONIC,COMPACT,1.4,4,AS6,Petrol,9.0,6.8,8.0,35,184,1.0,6.8,2.2,99.37129628982495
CHEVROLET,SONIC,COMPACT,1.8,4,AS6,Petrol,9.6,6.7,8.3,34,191,1.0,6.7,2.8999999999999995,99.02958436678745
CHEVROLET,SONIC RS,COMPACT,1.4,4,AS6,Petrol,9.4,7.0,8.3,34,191,1.0,7.0,2.4000000000000004,99.30901382109398
CHEVROLET,SONIC 5,MID-SIZE,1.4,4,AS6,Petrol,9.0,6.8,8.0,35,184,1.0,6.8,2.2,99.37129628982495
CHEVROLET,SONIC 5,MID-SIZE,1.8,4,AS6,Petrol,9.6,6.7,8.3,34,191,1.0,6.7,2.8999999999999995,99.02958436678745
CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,AS6,Petrol,9.4,7.0,8.3,34,191,1.0,7.0,2.4000000000000004,99.30901382109398
CHEVROLET,SPARK,SUBCOMPACT,1.2,4,AV,Petrol,7.7,6.1,7.0,40,161,1.0,6.1,1.6000000000000003,99.68607525341123
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,Petrol,14.9,10.1,12.7,22,292,1.0,10.1,4.800000000000001,82.7764615070407
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,Electric,20.2,13.6,17.2,16,275,0.8,13.6,6.6,59.526718160420394
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,Petrol,15.4,10.8,13.3,21,306,1.0,10.8,4.6,81.07596137593131
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,Electric,22.1,15.4,19.1,15,306,0.8,15.4,6.700000000000001,52.00660102656173
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,Petrol,14.9,10.1,12.7,22,292,1.0,10.1,4.800000000000001,82.7764615070407
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,Electric,20.2,13.6,17.2,16,275,0.8,13.6,6.6,59.526718160420394
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,Petrol,15.1,10.4,13.0,22,299,1.0,10.4,4.699999999999999,82.36282634001408
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,Electric,20.5,14.0,17.6,16,282,0.8,14.0,6.5,58.57880423598443
CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6,A6,Petrol,14.2,9.9,12.3,23,283,1.0,9.9,4.299999999999999,92.02313597780683
CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6,A6,Petrol,14.6,10.2,12.6,22,290,1.0,10.2,4.4,91.43678522422032
CHEVROLET,TRAX,SUV - SMALL,1.4,4,AS6,Petrol,9.2,7.0,8.2,34,189,1.0,7.0,2.1999999999999997,99.32079699085389
CHEVROLET,TRAX AWD,SUV - SMALL,1.4,4,AS6,Petrol,9.7,7.6,8.7,32,200,1.0,7.6,2.1,99.19781015648479
CHRYSLER,200,MID-SIZE,2.4,4,A9,Petrol,10.2,6.4,8.5,33,196,1.0,6.4,3.799999999999999,98.51801116539272
CHRYSLER,200 FFV,MID-SIZE,2.4,4,A9,Petrol,10.2,6.4,8.5,33,196,1.0,6.4,3.799999999999999,98.51801116539272
CHRYSLER,200 FFV,MID-SIZE,2.4,4,A9,Electric,13.6,8.5,11.3,25,181,0.8,8.5,5.1,96.40665077823051
CHRYSLER,200,MID-SIZE,3.6,6,A9,Petrol,12.4,7.5,10.2,28,235,1.0,7.5,4.9,94.65778791300698
CHRYSLER,200 FFV,MID-SIZE,3.6,6,A9,Petrol,12.4,7.5,10.2,28,235,1.0,7.5,4.9,94.65778791300698
CHRYSLER,200 FFV,MID-SIZE,3.6,6,A9,Electric,16.5,10.1,13.6,21,218,0.8,10.1,6.4,87.77761913747824
CHRYSLER,200 AWD,MID-SIZE,3.6,6,A9,Petrol,12.8,8.1,10.7,26,246,1.0,8.1,4.700000000000001,93.92760134612652
CHRYSLER,200 AWD FFV,MID-SIZE,3.6,6,A9,Petrol,12.8,8.1,10.7,26,246,1.0,8.1,4.700000000000001,93.92760134612652
CHRYSLER,200 AWD FFV,MID-SIZE,3.6,6,A9,Electric,16.9,10.8,14.1,20,226,0.8,10.8,6.099999999999998,86.66924970238303
CHRYSLER,300,FULL-SIZE,3.6,6,A8,Petrol,12.4,7.7,10.3,27,237,1.0,7.7,4.7,94.39206541127831
CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,Petrol,12.4,7.7,10.3,27,237,1.0,7.7,4.7,94.39206541127831
CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,Electric,16.8,10.3,13.9,20,222,0.8,10.3,6.5,86.86240952094734
CHRYSLER,300 (MDS),FULL-SIZE,5.7,8,A8,Petrol,14.8,9.3,12.3,23,283,1.0,9.3,5.5,82.84104605185124
CHRYSLER,300 AWD,FULL-SIZE,3.6,6,A8,Petrol,12.8,8.6,10.9,26,251,1.0,8.6,4.200000000000001,93.80873376547156
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,Petrol,12.8,8.6,10.9,26,251,1.0,8.6,4.200000000000001,93.80873376547156
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,Electric,17.3,11.7,14.8,19,237,0.8,11.7,5.600000000000001,85.24088367563115
CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,Petrol,14.1,9.5,12.0,24,276,1.0,9.5,4.6,92.56062416859447
CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,Electric,19.7,13.3,16.8,17,269,0.8,13.3,6.399999999999999,81.19828190010567
DODGE,CHALLENGER,MID-SIZE,3.6,6,A8,Petrol,12.4,7.8,10.3,27,237,1.0,7.8,4.6000000000000005,94.39206541127831
DODGE,CHALLENGER (MDS),MID-SIZE,5.7,8,A8,Petrol,14.8,9.3,12.3,23,283,1.0,9.3,5.5,82.84104605185124
DODGE,CHALLENGER (MDS),MID-SIZE,6.4,8,A8,Petrol,15.7,9.5,12.9,22,297,1.0,9.5,6.199999999999999,78.80920597423835
DODGE,CHALLENGER SRT (MDS),MID-SIZE,6.4,8,A8,Petrol,15.7,9.5,12.9,22,297,1.0,9.5,6.199999999999999,78.80920597423835
DODGE,CHALLENGER SRT HELLCAT,MID-SIZE,6.2,8,A8,Petrol,18.0,10.7,14.7,19,338,1.0,10.7,7.300000000000001,72.83347170422545
DODGE,CHARGER,FULL-SIZE,3.6,6,A5,Petrol,13.7,8.9,11.5,25,264,1.0,8.9,4.799999999999999,93.17873558800027
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,Petrol,13.7,8.9,11.5,25,264,1.0,8.9,4.799999999999999,93.17873558800027
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,Electric,18.7,12.4,15.9,18,254,0.8,12.4,6.299999999999999,83.2245662713195
DODGE,CHARGER,FULL-SIZE,3.6,6,A8,Petrol,12.4,7.7,10.3,27,237,1.0,7.7,4.7,94.39206541127831
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,Petrol,12.4,7.7,10.3,27,237,1.0,7.7,4.7,94.39206541127831
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,Electric,16.8,10.3,13.9,20,222,0.8,10.3,6.5,86.86240952094734
DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,A5,Petrol,15.7,9.6,12.9,22,297,1.0,9.6,6.1,81.15834154546492
DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,A8,Petrol,14.8,9.3,12.3,23,283,1.0,9.3,5.5,82.84104605185124
DODGE,CHARGER AWD,FULL-SIZE,3.6,6,A8,Petrol,12.8,8.6,10.9,26,251,1.0,8.6,4.200000000000001,93.80873376547156
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,Petrol,12.8,8.6,10.9,26,251,1.0,8.6,4.200000000000001,93.80873376547156
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,Electric,17.3,11.7,14.8,19,237,0.8,11.7,5.600000000000001,85.24088367563115
DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8,A5,Petrol,16.1,10.0,13.4,21,308,1.0,10.0,6.100000000000001,79.47072492959089
DODGE,CHARGER SRT 392 HEMI,FULL-SIZE,6.4,8,A8,Petrol,15.7,9.5,12.9,22,297,1.0,9.5,6.199999999999999,78.80920597423835
DODGE,CHARGER SRT HELLCAT,FULL-SIZE,6.2,8,A8,Petrol,18.0,10.7,14.7,19,338,1.0,10.7,7.300000000000001,72.83347170422545
DODGE,DART FFV,MID-SIZE,2.0,4,A6,Petrol,9.9,7.0,8.6,33,198,1.0,7.0,2.9000000000000004,98.79550226276905
DODGE,DART FFV,MID-SIZE,2.0,4,A6,Electric,13.3,9.3,11.5,25,184,0.8,9.3,4.0,96.99614592821936
DODGE,DART,MID-SIZE,2.4,4,A6,Petrol,10.1,6.8,8.6,33,198,1.0,6.8,3.3,98.4971993330895
DODGE,DART GT,MID-SIZE,2.4,4,A6,Petrol,10.6,7.5,9.2,31,212,1.0,7.5,3.1,98.24880004430906
DODGE,DART TURBO AERO,MID-SIZE,1.4,4,AM6,Petrol,8.4,5.9,7.3,39,168,1.0,5.9,2.5,99.53712390234361
DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6,A8,Petrol,13.9,9.8,12.1,23,278,1.0,9.8,4.1,92.15750802550374
DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6,A8,Electric,17.7,13.0,15.6,18,250,0.8,13.0,4.699999999999999,83.54649930226002
DODGE,DURANGO AWD (MDS),SUV - STANDARD,5.7,8,A8,Petrol,17.3,11.5,14.7,19,338,1.0,11.5,5.800000000000001,75.0474672854304
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6,A6,Petrol,13.7,9.4,11.8,24,271,1.0,9.4,4.299999999999999,92.68939738097069
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6,A6,Electric,19.2,13.1,16.4,17,262,0.8,13.1,6.1,81.65277559084522
DODGE,JOURNEY,SUV - SMALL,2.4,4,A4,Petrol,12.7,9.1,11.1,25,255,1.0,9.1,3.6,97.2376672420983
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,A6,Petrol,14.2,9.4,12.1,23,278,1.0,9.4,4.799999999999999,92.15750802550374
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,A6,Electric,18.9,12.9,16.2,17,259,0.8,12.9,5.999999999999998,81.880022436215
DODGE,JOURNEY AWD,SUV - SMALL,3.6,6,A6,Petrol,14.5,9.9,12.4,23,285,1.0,9.9,4.6,91.95594995395838
FIAT,500 CABRIO,MINICOMPACT,1.4,4,A6,Petrol,8.7,6.9,7.9,36,182,1.0,6.9,1.799999999999999,99.40786152296882
FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,A6,Petrol,8.7,6.9,7.9,36,182,1.0,6.9,1.799999999999999,99.40786152296882
FIAT,500 HATCHBACK TURBO,MINICOMPACT,1.4,4,A6,Petrol,9.6,7.3,8.6,33,198,1.0,7.3,2.3,99.2429566572884
FIAT,500 ABARTH CABRIO,MINICOMPACT,1.4,4,A6,Petrol,9.6,7.3,8.6,33,198,1.0,7.3,2.3,99.2429566572884
FIAT,500 ABARTH HATCHBACK,MINICOMPACT,1.4,4,A6,Petrol,9.6,7.3,8.6,33,198,1.0,7.3,2.3,99.2429566572884
FIAT,500L,STATION WAGON - SMALL,1.4,4,A6,Petrol,10.6,7.8,9.4,30,216,1.0,7.8,2.8,99.03171655941067
FIAT,500L,STATION WAGON - SMALL,1.4,4,AM6,Petrol,9.9,7.2,8.7,32,200,1.0,7.2,2.7,99.19781015648479
FORD,C-MAX HYBRID,FULL-SIZE,2.0,4,AV,Petrol,5.6,6.4,6.0,47,138,1.0,6.4,-0.8000000000000007,99.55638875584087
FORD,EDGE,SUV - SMALL,2.0,4,AS6,Petrol,11.5,7.8,9.8,29,225,1.0,7.8,3.7,98.35295180574644
FORD,EDGE (Start/Stop),SUV - SMALL,2.0,4,AS6,Petrol,11.3,7.9,9.8,29,225,1.0,7.9,3.4000000000000004,98.35295180574644
FORD,EDGE,SUV - SMALL,3.5,6,AS6,Petrol,13.2,9.0,11.3,25,260,1.0,9.0,4.199999999999999,93.49637617852824
FORD,EDGE AWD,SUV - SMALL,2.0,4,AS6,Petrol,11.8,8.4,10.3,27,237,1.0,8.4,3.4000000000000004,98.10370154083778
FORD,EDGE AWD,SUV - SMALL,3.5,6,AS6,Petrol,13.7,9.6,11.8,24,271,1.0,9.6,4.1,92.90044236792058
FORD,EDGE SPORT AWD,SUV - SMALL,2.7,6,AS6,Petrol,13.6,9.8,11.9,24,274,1.0,9.8,3.799999999999999,94.54051230887865
FORD,ESCAPE,SUV - SMALL,1.6,4,AS6,Petrol,10.4,7.4,9.0,31,207,1.0,7.4,3.0,98.957745041477
FORD,ESCAPE,SUV - SMALL,2.0,4,AS6,Petrol,10.9,8.0,9.6,29,221,1.0,8.0,2.9000000000000004,98.3924225221836
FORD,ESCAPE,SUV - SMALL,2.5,4,AS6,Petrol,10.9,7.6,9.5,30,218,1.0,7.6,3.3000000000000007,98.02156224899286
FORD,ESCAPE AWD,SUV - SMALL,1.6,4,AS6,Petrol,10.6,8.0,9.4,30,216,1.0,8.0,2.6,98.85238793773121
FORD,ESCAPE AWD,SUV - SMALL,2.0,4,AS6,Petrol,11.4,8.4,10.1,28,232,1.0,8.4,3.0,98.22255747465942
FORD,EXPEDITION 4X4,SUV - STANDARD,3.5,6,AS6,Petrol,16.2,11.8,14.2,20,327,1.0,11.8,4.399999999999999,89.62030248600443
FORD,EXPEDITION MAX 4X4,SUV - STANDARD,3.5,6,AS6,Petrol,16.4,12.0,14.4,20,331,1.0,12.0,4.399999999999999,89.47006707156552
FORD,EXPLORER,SUV - STANDARD,2.0,4,A6,Petrol,11.9,8.5,10.4,27,239,1.0,8.5,3.4000000000000004,98.08250430423263
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,Petrol,13.7,9.7,11.9,24,274,1.0,9.7,4.0,92.83784427857103
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,Electric,18.6,13.0,16.1,18,258,0.8,13.0,5.600000000000001,83.48986293570567
FORD,EXPLORER AWD (EcoBoost),SUV - STANDARD,3.5,6,AS6,Petrol,14.9,10.7,13.0,22,299,1.0,10.7,4.200000000000001,91.40946969432233
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,Petrol,14.2,10.3,12.5,23,288,1.0,10.3,3.899999999999999,92.12204873513929
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,Electric,19.2,14.1,16.9,17,270,0.8,14.1,5.1,81.61805732280261
FORD,F-150,PICKUP TRUCK - STANDARD,2.7,6,AS6,Petrol,12.2,9.2,10.8,26,248,1.0,9.2,3.0,95.472879894641
FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6,AS6,Petrol,13.7,9.9,12.0,24,276,1.0,9.9,3.799999999999999,92.77524618922149
